,source node,target node
0,HYPOVOLEMIA,LVEDVOLUME
1,HYPOVOLEMIA,STROKEVOLUME
2,LVEDVOLUME,CVP
3,LVEDVOLUME,PCWP
4,LVFAILURE,HISTORY
5,LVFAILURE,LVEDVOLUME
6,LVFAILURE,STROKEVOLUME
7,STROKEVOLUME,CO
8,ERRLOWOUTPUT,HRBP
9,ERRCAUTER,HREKG
10,ERRCAUTER,HRSAT
11,INSUFFANESTH,CATECHOL
12,ANAPHYLAXIS,TPR
13,TPR,CATECHOL
14,TPR,BP
15,KINKEDTUBE,PRESS
16,KINKEDTUBE,VENTLUNG
17,FIO2,PVSAT
18,PVSAT,SAO2
19,SAO2,CATECHOL
20,PULMEMBOLUS,PAP
21,PULMEMBOLUS,SHUNT
22,SHUNT,SAO2
23,INTUBATION,MINVOL
24,INTUBATION,SHUNT
25,INTUBATION,PRESS
26,INTUBATION,VENTLUNG
27,INTUBATION,VENTALV
28,DISCONNECT,VENTTUBE
29,MINVOLSET,VENTMACH
30,VENTMACH,VENTTUBE
31,VENTTUBE,PRESS
32,VENTTUBE,VENTLUNG
33,VENTLUNG,EXPCO2
34,VENTLUNG,MINVOL
35,VENTLUNG,VENTALV
36,VENTALV,PVSAT
37,VENTALV,ARTCO2
38,ARTCO2,EXPCO2
39,ARTCO2,CATECHOL
40,CATECHOL,HR
41,HR,HRBP
42,HR,HREKG
43,HR,HRSAT
44,HR,CO
45,CO,BP
