,GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
2,0,0,1,0,1,2,1,2,1,1,0,0,1,0,1,0,2,1,1,0,0,0,1,2,1,0,2
3,0,0,0,0,1,2,0,2,1,1,2,0,1,0,1,0,2,0,0,1,0,1,1,0,1,0,1
4,0,0,1,2,0,2,1,3,0,0,3,0,0,0,1,0,1,2,1,1,0,0,1,0,0,0,2
5,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,1,0,0,0
6,0,1,2,0,1,2,1,2,2,1,2,1,1,0,1,0,3,1,1,1,0,0,1,3,1,0,2
7,0,2,2,2,0,2,2,2,2,1,1,1,1,1,1,0,0,2,1,0,0,0,1,3,1,0,2
8,0,0,2,1,1,2,1,2,2,1,3,1,1,0,1,0,3,0,0,0,0,0,1,3,1,0,2
9,0,0,0,2,1,2,0,2,0,2,2,0,2,0,1,0,1,3,1,0,0,1,1,1,1,0,2
10,0,0,0,1,0,2,0,2,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
11,0,0,0,1,0,2,1,2,0,1,3,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,2
12,0,0,1,1,0,2,1,2,1,2,3,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0
13,0,2,1,0,1,2,1,2,1,1,3,1,1,1,1,0,2,2,1,0,0,0,1,2,1,0,2
14,0,0,2,2,1,2,1,2,2,1,1,1,1,0,1,0,3,2,1,0,0,0,1,2,1,0,2
