,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,2,0,0,0,2,0,2,0,2,0,1,0,2,0,2,1,1,0,1,1,1,0,1,0,1,2,0,1,1,1,2,0,1,0,1,1,1,2,1,2,1,1,0,2,2,2,1,0,2,2,2,1,0,0,2
3,1,3,2,1,1,0,1,0,0,1,1,0,0,2,0,1,2,0,1,2,1,1,2,1,2,0,3,0,1,1,1,1,0,1,0,2,2,0,2,2,3,1,1,2,3,2,2,1,2,1,3,2,2,2,0,3
4,0,2,0,1,1,0,1,2,2,0,0,1,0,2,2,3,1,0,0,2,2,2,0,0,1,2,4,0,1,2,2,2,0,2,2,0,0,0,1,1,4,1,1,1,3,2,2,0,0,2,0,3,0,2,0,4
5,2,1,0,0,0,1,1,0,0,0,1,0,0,1,1,3,0,2,1,0,0,0,0,0,1,1,5,0,1,2,0,3,2,0,2,0,2,0,1,2,5,1,1,1,4,1,1,2,1,0,4,1,3,0,0,5
6,0,3,0,2,2,3,2,2,2,2,0,1,1,1,1,1,0,0,2,0,0,0,1,0,1,2,0,0,1,1,2,0,2,1,0,0,0,1,2,0,0,2,2,2,5,0,0,0,1,0,0,3,0,1,1,3
7,3,1,0,1,1,0,1,2,0,0,2,0,0,1,1,1,0,1,0,0,1,1,1,2,1,2,6,1,1,1,1,1,0,0,1,1,3,1,2,1,6,2,2,2,0,1,1,0,0,2,1,4,1,2,1,4
8,1,0,3,2,2,0,3,1,1,1,0,2,2,0,0,0,2,2,1,0,2,2,1,2,0,0,6,1,1,1,1,1,3,1,1,1,3,0,3,2,6,1,1,0,5,1,2,0,0,1,1,1,1,2,1,5
9,3,0,1,2,2,2,2,3,1,1,0,0,2,1,2,3,2,2,1,2,0,0,1,2,0,0,5,0,1,0,0,3,2,0,0,2,2,1,0,0,5,0,0,0,2,3,2,1,1,1,2,2,0,3,0,5
10,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,5,0,1,0,0,3,3,0,0,0,2,0,1,2,5,1,1,1,3,3,2,1,0,1,4,2,3,2,0,5
11,3,0,3,1,1,3,1,0,1,0,2,0,0,2,0,1,2,0,0,2,1,1,1,2,1,1,7,0,1,1,1,4,0,1,0,0,1,0,2,2,7,1,1,1,6,2,0,2,1,0,4,2,2,3,1,0
12,0,1,0,2,2,0,1,2,2,1,0,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,6,1,2,0,0,1,0,2,1,0,3,1,0,0,6,2,2,2,1,2,2,1,2,1,2,3,2,3,0,5
13,1,1,2,1,1,0,1,0,0,2,2,1,1,0,0,3,2,1,1,1,0,0,2,2,2,2,4,0,1,1,0,2,0,1,1,2,0,0,1,2,4,1,1,2,0,2,0,1,0,1,0,3,1,2,0,2
14,0,1,3,3,3,1,2,3,3,0,0,0,0,1,2,3,2,2,1,2,1,1,0,2,0,3,2,0,1,2,2,2,0,2,2,0,1,0,2,1,2,0,2,2,0,2,2,1,0,0,2,1,0,3,1,2
15,3,0,0,0,0,3,1,0,1,0,1,0,0,1,1,3,0,0,2,0,1,1,3,0,1,1,8,0,1,2,1,5,2,0,0,0,1,1,1,3,8,1,1,1,1,1,1,2,0,0,2,3,0,3,0,3
16,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,3,2,0,1,1,2,2,1,0,1,1,4,0,1,2,2,2,0,0,0,2,0,1,2,3,4,2,2,2,3,1,0,1,0,2,0,3,0,3,0,3
17,1,3,1,1,1,3,2,0,1,1,0,2,2,1,2,3,1,0,0,0,0,0,1,1,1,1,4,0,1,1,1,2,0,2,0,1,0,2,2,1,4,1,1,1,5,1,2,0,0,0,1,3,0,2,0,4
18,3,1,0,1,1,3,0,3,1,0,2,2,2,2,0,2,2,0,1,1,2,2,0,1,1,2,9,0,3,2,2,2,3,2,2,0,1,0,0,1,9,1,1,1,4,0,2,2,1,2,0,3,0,0,1,3
19,0,1,0,0,0,0,2,2,2,0,0,0,0,1,2,2,0,0,2,0,1,1,1,2,0,2,7,0,2,2,1,4,0,2,0,1,1,2,0,2,7,0,0,0,4,1,0,2,1,1,0,0,1,1,1,0
20,3,1,3,3,3,0,3,0,1,0,2,1,1,0,0,3,2,0,1,1,2,2,1,2,0,3,7,0,0,0,0,4,0,0,0,2,1,1,0,0,7,2,2,2,6,0,0,2,3,0,2,2,1,1,1,0
21,2,3,3,3,3,0,0,0,3,1,2,2,0,0,0,1,1,1,0,2,1,1,2,1,0,1,1,1,0,0,2,1,0,1,1,1,1,2,0,3,1,0,0,0,3,1,1,1,1,0,1,1,1,1,0,1
22,1,2,0,1,1,0,3,0,1,0,2,0,0,1,2,0,1,1,0,2,0,0,0,0,1,0,6,1,1,1,0,1,2,1,2,0,3,0,3,1,6,2,2,2,4,1,0,0,2,1,3,4,1,3,1,1
23,1,2,0,3,3,0,1,0,1,1,1,2,0,2,0,2,2,1,1,1,2,2,2,1,0,0,6,1,1,1,1,1,2,1,0,1,3,1,1,3,6,0,0,0,1,2,2,0,0,0,1,3,2,0,0,4
24,2,2,2,1,1,2,2,3,3,0,0,0,1,1,2,3,2,1,0,0,0,0,2,2,1,0,3,0,1,1,1,1,0,1,0,2,2,1,3,2,3,1,1,1,4,0,0,0,3,0,4,3,2,1,0,1
25,0,1,0,0,0,2,1,2,2,1,0,2,2,0,0,1,1,2,2,2,2,2,0,2,0,4,9,0,2,0,0,2,3,1,2,0,1,1,3,2,9,0,0,0,4,2,2,2,0,2,0,3,0,3,1,3
26,2,1,2,1,1,0,2,1,1,0,0,0,2,2,0,3,2,0,1,1,2,2,0,2,2,1,2,0,1,2,2,2,1,1,2,0,1,2,1,2,2,1,2,2,6,2,2,2,2,0,3,0,1,0,1,0
27,1,0,3,3,3,2,3,1,1,1,0,0,1,1,1,2,0,2,1,0,0,0,1,2,1,0,3,0,1,2,2,1,3,1,0,2,2,1,2,3,3,0,0,0,4,1,0,2,0,1,3,3,2,0,1,3
28,2,0,0,1,1,3,3,3,3,0,2,2,0,0,0,1,2,2,1,2,0,0,2,2,2,3,10,0,3,1,1,2,2,2,2,2,4,1,2,0,10,1,1,2,3,2,0,0,2,0,1,2,2,0,1,4
29,1,0,0,2,2,0,0,1,1,1,2,2,2,2,0,3,2,1,0,1,0,0,0,1,1,4,1,1,1,1,1,1,0,0,0,1,1,0,2,2,1,1,1,1,3,3,2,0,1,0,1,4,1,1,1,1
30,3,3,1,0,0,2,1,3,3,2,0,1,1,2,2,3,2,0,1,2,2,2,0,0,1,3,1,1,0,2,2,1,1,2,2,0,1,0,2,1,1,2,2,2,1,3,2,1,1,0,1,1,1,1,0,4
31,3,0,2,0,0,2,1,2,2,0,2,0,2,0,0,0,0,1,0,2,1,1,1,2,2,4,7,0,2,0,0,4,3,1,1,1,1,0,2,3,7,1,1,2,2,3,2,0,1,1,0,3,3,3,0,1
32,1,3,0,0,0,0,2,2,2,1,1,2,2,1,2,1,0,1,2,0,1,1,1,2,0,4,2,0,1,0,2,2,0,0,1,2,1,1,2,0,2,1,1,0,6,2,0,0,1,2,5,2,3,0,1,2
33,1,1,0,0,0,0,1,0,0,1,0,2,2,2,0,1,2,0,0,1,2,2,1,2,2,4,5,0,0,0,0,3,0,1,0,2,2,0,1,2,5,1,1,2,1,3,1,1,1,0,6,4,0,3,0,1
34,0,1,2,2,2,2,1,1,0,0,0,0,0,2,2,1,0,0,2,0,2,2,3,0,1,4,5,0,1,0,0,3,0,2,2,0,2,1,3,2,5,2,0,0,3,1,2,2,1,1,3,2,0,3,1,5
35,1,1,0,0,0,1,0,3,3,0,0,0,0,0,0,3,2,2,1,1,0,0,1,2,0,4,6,1,1,2,0,1,2,2,2,0,3,0,2,3,6,0,0,0,4,2,1,2,0,0,3,3,1,2,0,3
36,1,3,3,1,1,0,1,0,1,1,0,0,2,2,0,2,2,0,0,2,2,2,1,2,1,2,4,0,0,0,0,2,2,2,0,0,0,2,1,2,4,1,1,1,5,0,2,1,0,2,6,3,2,2,0,1
37,2,1,3,1,1,0,2,0,1,0,2,0,0,1,1,1,0,1,0,0,2,2,1,2,1,0,2,0,2,0,0,2,2,2,2,0,1,1,2,1,2,1,0,0,6,0,0,2,1,0,0,3,0,3,1,3
38,3,1,0,1,1,3,2,0,1,0,2,2,0,0,0,2,1,1,1,1,1,1,1,1,0,1,9,0,1,2,2,2,1,0,1,1,1,2,2,2,9,0,0,0,5,2,2,2,2,2,3,1,0,1,0,1
39,2,1,0,1,1,3,2,0,0,2,1,0,0,2,0,0,0,2,1,2,0,0,0,0,1,0,6,1,1,1,1,1,2,0,1,0,3,0,3,2,6,1,1,1,3,3,1,0,0,1,3,1,0,1,0,4
40,1,1,3,0,0,0,0,1,1,0,0,0,0,2,2,1,0,0,2,0,2,2,1,2,1,1,0,0,3,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,2,1,0,1,1,2
41,1,0,0,0,0,3,2,1,1,1,2,2,2,1,2,2,0,0,0,2,2,2,0,0,0,3,9,0,3,2,2,2,2,2,2,0,1,1,2,3,9,0,0,0,0,0,1,2,0,2,6,1,0,1,1,3
42,2,1,3,3,3,0,0,0,0,0,0,1,1,0,0,1,2,1,1,2,1,1,3,0,0,5,0,0,2,0,1,0,0,2,0,0,0,1,3,2,0,2,2,2,0,2,0,0,2,0,6,0,0,0,1,2
