,source,target,score
0,smoke,dysp,6801.623139122942
1,smoke,bronc,6801.623139122942
2,smoke,either,6801.623139122942
3,smoke,asia,6801.623139122942
4,smoke,tub,6801.623139122942
5,dysp,bronc,6801.623139122942
6,dysp,asia,6801.623139122942
7,dysp,tub,6801.623139122942
8,bronc,either,6801.623139122942
9,bronc,asia,6801.623139122942
10,bronc,tub,6801.623139122942
11,bronc,lung,6801.623139122942
12,bronc,xray,6801.623139122942
13,either,asia,6801.623139122942
14,asia,tub,6801.623139122942
15,asia,lung,6801.623139122942
16,asia,xray,6801.623139122942
17,tub,lung,6801.623139122942
