,accuracy,precision,recall,SHD,norm
ga-50,0.8571428571428571,0.5,0.125,8.0,2.8284271247461903
hc-50,0.8214285714285714,0.3333333333333333,0.25,10.0,3.1622776601683795
mmhc-50,0.9107142857142857,1.0,0.375,5.0,2.23606797749979
tabu-50,0.8571428571428571,0.5,0.375,8.0,2.8284271247461903
kbnl-50,0.8392857142857143,0.3333333333333333,0.125,9.0,3.0
kbnl_c-50,0.9107142857142857,1.0,0.375,5.0,2.23606797749979
ga-500,0.8214285714285714,0.4,0.5,10.0,3.1622776601683795
hc-500,0.9642857142857143,0.875,0.875,2.0,1.4142135623730951
mmhc-500,0.9464285714285714,1.0,0.625,3.0,1.7320508075688772
tabu-500,0.9642857142857143,0.875,0.875,2.0,1.4142135623730951
kbnl-500,0.9821428571428571,1.0,0.875,1.0,1.0
kbnl_c-500,0.9821428571428571,1.0,0.875,1.0,1.0
ga-2000,0.6785714285714286,0.14285714285714285,0.25,18.0,4.242640687119285
hc-2000,0.9821428571428571,1.0,0.875,1.0,1.0
mmhc-2000,0.9464285714285714,1.0,0.625,3.0,1.7320508075688772
tabu-2000,0.9821428571428571,1.0,0.875,1.0,1.0
kbnl-2000,0.9821428571428571,1.0,0.875,1.0,1.0
kbnl_c-2000,0.9821428571428571,1.0,0.875,1.0,1.0
ga-5000,0.6428571428571429,0.16666666666666666,0.375,20.0,4.47213595499958
hc-5000,0.9464285714285714,0.8571428571428571,0.75,3.0,1.7320508075688772
mmhc-5000,0.9464285714285714,1.0,0.625,3.0,1.7320508075688772
tabu-5000,0.9821428571428571,1.0,0.875,1.0,1.0
kbnl-5000,0.9821428571428571,1.0,0.875,1.0,1.0
kbnl_c-5000,0.9821428571428571,1.0,0.875,1.0,1.0
