D1,D2,D3,D4,D7,D8,D9,D10,D11,D12,D13,D14,D15,D17,R1,SR2,R3,H1,H2,H3,H4,H5,T1,T2,M,θ,ZX_IN,ZX_OUT,JX_IN,JX_OUT,ZJ_U,ZJ_D,FL_ZKL,LS_YJL,FL_JXWYL
3778.6,4343.3,4678.6,2996.7,3930.3,3795.1,3945.7,4684.6,4071.2,4082.7,3987.5,3996.1,4003.6,4155.3,399.9,4062.9,156.4,198.6,849.0,608.2,289.4,140.1,164.9,231.3,58.0,16.4,-2.90897725,15.22295343,-0.25363928,9.50925316,0.11349378,-0.12079204,-3.91524501,5650321.98055887,-0.56995861
3778.6,4343.3,4678.6,2996.7,3930.3,3795.1,3945.7,4684.6,4071.2,4082.7,3987.5,3996.1,4003.6,4155.3,399.9,4062.9,156.4,198.6,849.0,608.2,289.4,140.1,164.9,231.3,58.0,16.4,-2.90897725,15.22295343,-0.25363928,9.50925316,0.11349378,-0.12079204,-3.91524501,5650321.98055887,-0.56995861
3778.9,4360.2,4668.8,3006.7,3923.3,3791.9,3960.9,4684.7,4069.4,4092.2,3982.2,4003.6,4006.9,4161.3,403.2,4049.7,150.6,196.6,852.6,599.3,275.3,138.8,165.0,231.9,58.0,18.9,-2.00360905,15.90896183,-0.40121405,9.45939353,0.12165201,-0.13116303,-3.26542904,5636014.21477405,-0.56745113
3773.9,4354.6,4671.4,3008.9,3921.7,3800.2,3953.2,4689.2,4068.5,4089.8,3990.1,4001.9,4011.1,4157.3,395.6,4052.5,159.8,196.6,838.3,593.7,275.5,138.5,161.5,232.1,58.0,16.5,-1.88604023,16.11338618,-0.26763617,9.53967684,0.11914817,-0.12934110000000001,-3.04598329,5591790.77149003,-0.49499093
3778.3,4355.4,4677.3,2999.3,3931.2,3804.0,3947.4,4689.1,4075.0,4088.6,3984.6,3997.4,4001.9,4163.8,402.9,4054.6,153.7,201.0,852.5,600.3,279.5,134.3,162.7,232.5,58.0,22.9,-3.0044108,15.08792639,-0.42253099,9.43912904,0.12177793,-0.12693863,-4.10144595,5663891.81844176,-0.62579681
3778.3,4355.4,4677.3,2999.3,3931.2,3804.0,3947.4,4689.1,4075.0,4088.6,3984.6,3997.4,4001.9,4163.8,402.9,4054.6,153.7,201.0,852.5,600.3,279.5,134.3,162.7,232.5,58.0,22.9,-3.0044107999999996,15.08792639,-0.42253099,9.43912904,0.12177793,-0.12693863,-4.10144595,5663891.81844176,-0.62579681
3780.5,4351.5,4671.9,2998.4,3926.5,3795.0,3951.7,4694.2,4078.1,4080.9,3987.0,3999.7,4012.2,4155.7,403.0,4058.3,143.9,198.8,850.0,600.0,277.8,140.1,167.3,238.5,58.0,23.8,-2.0148118000000004,15.94498646,-0.19723994,9.62255847,0.11205505,-0.1225516,-3.13173607,5595814.55439627,-0.47992099
3780.5,4351.5,4671.9,2998.4,3926.5,3795.0,3951.7,4694.2,4078.1,4080.9,3987.0,3999.7,4012.2,4155.7,403.0,4058.3,143.9,198.8,850.0,600.0,277.8,140.1,167.3,238.5,58.0,23.8,-2.0148118000000004,15.94498646,-0.19723994,9.62255847,0.11205505,-0.12255160000000001,-3.13173607,5595814.55439627,-0.47992099
3780.5,4351.5,4671.9,2998.4,3926.5,3795.0,3951.7,4694.2,4078.1,4080.9,3987.0,3999.7,4012.2,4155.7,403.0,4058.3,143.9,198.8,850.0,600.0,277.8,140.1,167.3,238.5,58.0,23.8,-2.0148118000000004,15.94498646,-0.19723994,9.62255847,0.11205505,-0.1225516,-3.13173607,5595814.55439627,-0.47992099
3780.5,4351.5,4671.9,2998.4,3926.5,3795.0,3951.7,4694.2,4078.1,4080.9,3987.0,3999.7,4012.2,4155.7,403.0,4058.3,143.9,198.8,850.0,600.0,277.8,140.1,167.3,238.5,58.0,23.8,-2.0148118000000004,15.94498646,-0.19723994,9.62255847,0.11205505,-0.12255160000000001,-3.13173607,5595814.55439627,-0.47992099
3768.8,4359.1,4685.6,2992.0,3931.5,3799.1,3951.8,4689.0,4064.4,4087.3,3988.4,3998.6,4010.8,4157.6,396.5,4064.6,146.1,200.2,851.5,598.8,279.5,135.6,166.5,226.9,58.0,31.3,-2.35587615,15.63150733,-0.11533323,9.60385576,0.1108109,-0.13614005,-3.53254547,5568747.86786942,-0.39019842
