,accuracy,precision,recall,SHD,norm
ga-50,0.9048701298701298,0.008658008658008658,0.030303030303030304,293.0,17.11724276862369
hc-50,0.9743506493506493,0.2903225806451613,0.13636363636363635,79.0,8.888194417315589
mmhc-50,0.9805194805194806,0.75,0.13636363636363635,60.0,7.745966692414834
tabu-50,0.9756493506493507,0.3548387096774194,0.16666666666666666,75.0,8.660254037844387
kbnl-50,0.9772727272727273,0.3888888888888889,0.10606060606060606,70.0,8.366600265340756
kbnl_c-50,0.9805194805194806,0.75,0.13636363636363635,60.0,7.745966692414834
ga-500,0.9094155844155845,0.009216589861751152,0.030303030303030304,279.0,16.703293088490067
hc-500,0.9805194805194806,0.5535714285714286,0.4696969696969697,60.0,7.745966692414834
mmhc-500,0.9847402597402597,0.8518518518518519,0.3484848484848485,47.0,6.855654600401044
tabu-500,0.9827922077922078,0.6181818181818182,0.5151515151515151,53.0,7.280109889280518
kbnl-500,0.9844155844155844,0.68,0.5151515151515151,48.0,6.928203230275509
kbnl_c-500,0.9853896103896104,0.7333333333333333,0.5,45.0,6.708203932499369
ga-2000,0.9103896103896104,0.022727272727272728,0.07575757575757576,276.0,16.61324772583615
hc-2000,0.9905844155844156,0.8135593220338984,0.7272727272727273,29.0,5.385164807134504
mmhc-2000,0.9876623376623377,0.9666666666666667,0.4393939393939394,38.0,6.164414002968976
tabu-2000,0.9905844155844156,0.8135593220338984,0.7272727272727273,29.0,5.385164807134504
kbnl-2000,0.9905844155844156,0.8363636363636363,0.696969696969697,29.0,5.385164807134504
kbnl_c-2000,0.990909090909091,0.8518518518518519,0.696969696969697,28.0,5.291502622129181
ga-5000,0.9159090909090909,0.01507537688442211,0.045454545454545456,259.0,16.09347693943108
hc-5000,0.9938311688311688,0.8983050847457628,0.803030303030303,19.0,4.358898943540674
mmhc-5000,0.9889610389610389,1.0,0.48484848484848486,34.0,5.830951894845301
tabu-5000,0.9938311688311688,0.8983050847457628,0.803030303030303,19.0,4.358898943540674
kbnl-5000,0.9915584415584415,0.8448275862068966,0.7424242424242424,26.0,5.0990195135927845
kbnl_c-5000,0.9925324675324675,0.864406779661017,0.7727272727272727,23.0,4.795831523312719
