,accuracy,precision,recall,SHD,norm
ga-50,0.8589743589743589,0.07272727272727272,0.07692307692307693,99.0,9.9498743710662
hc-50,0.9206349206349206,0.2777777777777778,0.09615384615384616,60.0,7.745966692414834
mmhc-50,0.9365079365079365,0.75,0.11538461538461539,48.0,6.928203230275509
tabu-50,0.9259259259259259,0.3888888888888889,0.1346153846153846,56.0,7.483314773547883
kbnl-50,0.9216524216524217,0.36363636363636365,0.07692307692307693,55.0,7.416198487095663
kbnl_c-50,0.9301994301994302,0.6666666666666666,0.11538461538461539,49.0,7.0
ga-500,0.8518518518518519,0.11764705882352941,0.15384615384615385,104.0,10.198039027185569
hc-500,0.9404761904761905,0.6129032258064516,0.36538461538461536,45.0,6.708203932499369
mmhc-500,0.9378306878306878,0.6470588235294118,0.21153846153846154,47.0,6.855654600401044
tabu-500,0.9404761904761905,0.6129032258064516,0.36538461538461536,45.0,6.708203932499369
kbnl-500,0.9344729344729344,0.6153846153846154,0.3076923076923077,46.0,6.782329983125268
kbnl_c-500,0.9330484330484331,0.6086956521739131,0.2692307692307692,47.0,6.855654600401044
ga-2000,0.8404558404558404,0.03125,0.038461538461538464,112.0,10.583005244258363
hc-2000,0.9497354497354498,0.6842105263157895,0.5,38.0,6.164414002968976
mmhc-2000,0.9457671957671958,0.7391304347826086,0.3269230769230769,41.0,6.4031242374328485
tabu-2000,0.9378306878306878,0.5641025641025641,0.4230769230769231,47.0,6.855654600401044
kbnl-2000,0.9430199430199431,0.6764705882352942,0.4423076923076923,40.0,6.324555320336759
kbnl_c-2000,0.9430199430199431,0.6875,0.4230769230769231,40.0,6.324555320336759
ga-5000,0.8461538461538461,0.1,0.1346153846153846,108.0,10.392304845413264
hc-5000,0.9497354497354498,0.6666666666666666,0.5384615384615384,38.0,6.164414002968976
mmhc-5000,0.9470899470899471,0.7307692307692307,0.36538461538461536,40.0,6.324555320336759
tabu-5000,0.9444444444444444,0.6190476190476191,0.5,42.0,6.48074069840786
kbnl-5000,0.9358974358974359,0.5897435897435898,0.4423076923076923,45.0,6.708203932499369
kbnl_c-5000,0.9501424501424501,0.7297297297297297,0.5192307692307693,35.0,5.916079783099616
